STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/14/28,,,,,0,",,0,",27.8,",,0",10.6,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/15/28,,,,,0,",,0,",21.1,",,0",8.3,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/16/28,,,,,0,",,0,",22.2,",,0",10,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/17/28,,,,,7.9,",,0,",25,",,0",15,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/18/28,,,,,0.8,",,0,",28.3,",,0",14.4,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/19/28,,,,,20.1,",,0,",30,",,0",13.9,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/20/28,,,,,65,",,0,",25,",,0",17.8,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/21/28,,,,,0.8,",,0,",28.3,",,0",16.1,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/22/28,,,,,4.8,",,0,",27.2,",,0",15.6,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/23/28,,,,,0,"T,,0,",20.6,",,0",13.3,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/24/28,,,,,34,",,0,",21.7,",,0",11.1,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/25/28,,,,,3.8,",,0,",13.3,",,0",10,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/26/28,,,,,0.5,",,0,",22.2,",,0",11.1,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/27/28,,,,,0,",,0,",25.6,",,0",12.8,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/28/28,,,,,8.1,",,0,",25,",,0",15.6,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/29/28,,,,,13.5,",,0,",18.9,",,0",13.3,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,6/30/28,,,,,0,",,0,",30,",,0",12.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,7/1/28,,,,,0,",,0,",29.4,",,0",17.8,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,7/5/28,,,,,0,",,0,",25.6,",,0",15,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,10/4/28,,,,,12.7,",,0,",26.1,",,0",16.7,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,10/8/28,,,,,11.7,",,0,",25,",,0",12.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,10/9/28,,,,,0,",,0,",21.7,",,0",11.7,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,10/10/28,,,,,0,",,0,",27.8,",,0",9.4,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,10/11/28,,,,,0,",,0,",31.1,",,0",16.1,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,10/12/28,,,,,9.7,",,0,",26.1,",,0",17.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,10/13/28,,,,,0.3,",,0,",22.8,",,0",10,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,10/14/28,,,,,0,"T,,0,",16.7,",,0",10,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,10/15/28,,,,,0,"T,,0,",21.7,",,0",10,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,10/16/28,,,,,0.3,",,0,",21.7,",,0",17.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,10/17/28,,,,,13.2,",,0,",18.3,",,0",12.8,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,10/18/28,,,,,3,",,0,",13.9,",,0",10,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,10/19/28,,,,,0.8,",,0,",11.1,",,0",5.6,",,0",,
